name,ascents,grade,popularity,popularity_std,elo,elo_std,inferred_grade,inferred_grade_lower,inferred_grade_upper,inferred_grade_str,delta
Swiss Beats,24,7C+,3.7271,0.7580,3.0989,0.4062,26.768,25.415,28.122,8B+,-3.768
Mörderballett light,134,7A,1.2503,0.1829,-3.5266,0.2116,15.505,14.800,16.210,6C,+2.495
Boxenluder,24,7C+,5.5001,1.4036,3.3487,0.3728,27.193,25.951,28.435,8B+,-4.193
Mördersprung,203,7A+,2.3582,0.1863,-2.8170,0.1995,16.711,16.046,17.376,6C+,+2.289
Nana Bianca,45,8A+,7.0653,1.1785,3.2506,0.2777,27.026,26.101,27.951,8B+,-2.026
Jackass,39,7A+,0.6015,0.3292,0.2826,0.4071,21.980,20.624,23.337,7C,-2.980
Hydromancer,56,8A,4.3233,0.5191,2.4585,0.2798,25.679,24.747,26.612,8B,-1.679
Mörderballett,195,7B,2.5477,0.2154,-2.1219,0.1565,17.893,17.371,18.414,7A,+2.107
Du cote de Seshuan,515,7C+,8.6901,0.8345,0.3531,0.1188,22.100,21.704,22.496,7C,+0.900
Supernova,1111,7C,9.8039,1.0077,-0.3160,0.0752,20.963,20.712,21.213,7B+,+1.037
Bamboo,37,7A,0.7021,0.3341,-0.6790,0.4016,20.346,19.008,21.684,7B,-2.346
Natural Ites,104,7C+,4.1640,0.4796,1.4569,0.2171,23.977,23.253,24.700,8A,-0.977
Nothing changes,268,8A,9.5603,1.0891,1.3519,0.1346,23.798,23.350,24.247,8A,+0.202
Unendliche Geschichte 1,275,8A+,9.7186,1.1267,1.6715,0.1443,24.342,23.861,24.822,8A,+0.658
La dance,186,7C,5.0610,0.3954,0.7815,0.1638,22.829,22.283,23.374,7C+,-0.829
La Grosse Tarlouze,4,8C,3.2315,1.3054,4.8342,0.6251,29.718,27.635,31.801,29.71818636636947,-1.718
Mr. Elegant,14,8A+,4.8933,1.1729,4.0767,0.4056,28.430,27.079,29.782,8C,-3.430
Massive Attack,227,8A+,9.1950,0.9760,1.8482,0.1542,24.642,24.128,25.156,8A+,+0.358
Midget,47,7A,1.0604,0.3072,-0.2005,0.4170,21.159,19.770,22.549,7B+,-3.159
Unendliche Geschichte 2,560,8A,10.3013,0.9801,0.8552,0.1018,22.954,22.615,23.293,7C+,+1.046
Apple Crumble,135,7A+,1.7885,0.2360,-2.8441,0.2209,16.665,15.929,17.401,6C+,+2.335
Little Schmetterling,3,7C+,0.0182,0.9643,3.9298,0.7026,28.181,25.839,30.522,8C,-5.181
Burning Babylon,45,7A,0.6797,0.3071,-0.1765,0.3383,21.200,20.073,22.327,7B+,-3.200
Madame Etoile,231,6B+,1.6536,0.1832,-5.1059,0.1690,12.820,12.257,13.383,6A+,+2.180
The Mummy,52,7B,1.1533,0.3231,-0.6727,0.2885,20.356,19.395,21.318,7B,-0.356
Gu Shampoo,6,7C,1.1535,1.2479,3.4440,0.5028,27.355,25.680,29.030,8B+,-5.355
Zombielight,91,6A+,0.1344,0.2157,-6.0868,0.2516,11.152,10.314,11.991,5C,+1.848
Supersupernova,293,8A,6.1264,0.4146,0.5759,0.1504,22.479,21.978,22.980,7C,+1.521
Rotzkiebel,135,6C,1.6066,0.1777,-2.4442,0.2178,17.345,16.619,18.071,6C+,-1.345
Propaganda,32,7A,0.7541,0.4533,0.3836,0.3346,22.152,21.037,23.267,7C,-4.152
Conan,268,7C,6.4950,0.6973,0.3047,0.1196,22.018,21.619,22.416,7C,-0.018
Bosna Genial,1427,7A,5.5444,0.1877,-3.2929,0.0572,15.902,15.712,16.092,6C,+2.098
Bosna Brutal,93,7A+,2.5476,0.2721,-0.3981,0.2442,20.823,20.010,21.637,7B+,-1.823
Super Bosna,962,6B,4.5700,0.2090,-3.4389,0.0934,15.654,15.343,15.965,6C,-1.654
Joke,49,7A,0.8959,0.3606,-0.4330,0.3326,20.764,19.656,21.872,7B+,-2.764
Traversatta,527,7A+,4.8681,0.3096,-1.8675,0.1116,18.325,17.953,18.697,7A,+0.675
Bosna Royal,243,7A,3.1104,0.2194,-1.7557,0.1723,18.515,17.941,19.090,7A+,-0.515
Rumpelstilzchen,17,7B,1.2256,0.5513,1.4026,0.3777,23.884,22.626,25.143,8A,-3.884
Morgenlatte,944,7B,7.0261,0.6106,-1.0597,0.0799,19.699,19.432,19.965,7B,+0.301
Tricky,330,7B,4.6178,0.3044,0.1271,0.1503,21.716,21.215,22.217,7C,-1.716
Haze,52,7B,1.5188,0.2531,-0.4504,0.3372,20.734,19.611,21.858,7B+,-0.734
Technoschreck,12,7B,0.3128,0.5062,1.2127,0.4591,23.562,22.032,25.091,8A,-3.562
Astronautenfieber,116,8A,7.7790,1.1700,2.2918,0.1795,25.396,24.798,25.994,8A+,-1.396
Mushroom Wizard,45,6C+,0.0499,0.2953,-1.6514,0.3645,18.693,17.478,19.907,7A+,-1.693
Marathonman,32,7B,2.7126,0.4521,1.8616,0.4019,24.665,23.325,26.004,8A+,-4.665
Aces and Eights,82,7A,0.4469,0.2795,-1.9045,0.3251,18.262,17.179,19.346,7A,-0.262
Protektor,314,7A+,3.6965,0.2991,-1.2263,0.1380,19.415,18.955,19.875,7A+,-0.415
Body Count,232,8A,7.7407,0.7752,1.5030,0.1572,24.055,23.531,24.579,8A,-0.055
Angelina Jolie,355,6C,2.2989,0.1796,-3.2381,0.1201,15.995,15.595,16.395,6C,+0.005
Exclusive,522,7B,4.3915,0.2700,-1.7052,0.1079,18.601,18.242,18.961,7A+,+1.399
smoking squirrel,279,6A+,1.4699,0.1614,-5.9372,0.1343,11.407,10.959,11.854,5C,+1.593
Panzerknacker,367,7A,2.6478,0.1837,-3.5108,0.1133,15.532,15.154,15.909,6C,+2.468
The Corner,146,6A+,0.5166,0.2267,-6.0439,0.2048,11.225,10.543,11.908,5C,+1.775
Blue Sky of mine,765,6A+,3.7650,0.1712,-5.9004,0.0908,11.469,11.167,11.772,5C,+1.531
Sideways,52,7C,2.8468,0.4158,1.5771,0.2552,24.181,23.331,25.031,8A,-2.181
The Gift,354,7B+,5.2625,0.3876,-0.3256,0.1596,20.946,20.415,21.478,7B+,+0.054
Höhlenhangel,58,7A,0.0168,0.2251,-2.1841,0.3546,17.787,16.605,18.969,7A,+0.213
Kashmir,23,7C,2.0865,0.4970,2.7196,0.3054,26.123,25.106,27.141,8B,-4.123
