name,ascents,grade,popularity,elo,elo_std,pop_std,inferred_grade,inferred_grade_lower,inferred_grade_upper,inferred_grade_str,delta
Gummiboot,1,5C,-10.2451,-3.5159,0.0000,0.0000,12.454,12.454,12.454,6A,-1.454
Optische Täuschung,1,5C,-9.0971,-9.4130,0.0000,0.0000,8.863,8.863,8.863,5A,+2.137
Trickreich im Trittreich,6,6C,-0.2656,-5.7075,0.0000,0.0000,13.977,13.977,13.977,6B,+2.023
Don't forget your coffe,3,7A,-2.3417,-1.9309,0.0000,0.0000,15.876,15.876,15.876,6C,+2.124
Muscle Monster,7,7C+,0.6424,0.7436,0.0000,0.0000,18.553,18.553,18.553,7A+,+4.447
I'mpossible,1,7C,-3.9500,2.7224,0.0000,0.0000,18.499,18.499,18.499,7A,+3.501
Für Kinder,3,5B,-1.7740,-11.1483,0.0000,0.0000,9.895,9.895,9.895,5B,+0.105
N.N. (Block 1),1,6C,-1.1145,3.1194,0.0000,0.0000,19.612,19.612,19.612,7B,-3.612
Softball,20,6A+,0.0749,-5.8584,0.0000,0.0000,13.978,13.978,13.978,6B,-0.978
Benvenuti in placca,8,7B,1.1746,1.6391,0.0000,0.0000,19.309,19.309,19.309,7A+,+0.691
Meine Tochter isst Blutwurst,2,8A,0.3107,1.2358,0.0000,0.0000,18.782,18.782,18.782,7A+,+5.218
Charmeur,19,5B,0.4877,-8.2500,0.0000,0.0000,12.505,12.505,12.505,6A+,-2.505
One Love,2,8A,0.8663,4.1941,0.0000,0.0000,20.922,20.922,20.922,7B+,+3.078
Yoga Move,1,7B,-1.2351,3.5984,0.0000,0.0000,19.896,19.896,19.896,7B,+0.104
"So snello, Start von 5.",1,6B+,-8.7029,-1.5298,0.0000,0.0000,14.241,14.241,14.241,6B,+0.759
Effetto Parodi,7,5C,-0.4552,-4.6426,0.0000,0.0000,14.630,14.630,14.630,6B+,-3.630
Quick Tricks,5,6C+,-1.6122,-4.7408,0.0000,0.0000,14.219,14.219,14.219,6B,+2.781
Magnitudo,15,7A,1.2082,-0.6130,0.0000,0.0000,17.817,17.817,17.817,7A,+0.183
scacco matto,1,8B,-6.1469,1.8099,0.0000,0.0000,17.233,17.233,17.233,6C+,+8.767
L'angolo morto,3,7B,-0.2578,1.7755,0.0000,0.0000,18.972,18.972,18.972,7A+,+1.028
Foxy dane,13,6B+,0.7880,-7.2159,0.0000,0.0000,13.285,13.285,13.285,6A+,+1.715
Ellis Island,6,8A,9.1260,4.3012,0.0000,0.0000,23.464,23.464,23.464,7C+,+0.536
Fuller,3,6C+,0.0296,-9.3652,0.0000,0.0000,11.624,11.624,11.624,6A,+5.376
andy's lab,1,7B,-6.1282,1.7933,0.0000,0.0000,17.228,17.228,17.228,6C+,+2.772
Happy hand,84,7B,4.2474,-2.3190,0.0000,0.0000,17.587,17.587,17.587,7A,+2.413
Vardy,3,6C,-5.3029,-1.2764,0.0000,0.0000,15.427,15.427,15.427,6B+,+0.573
N.N (Blocco 8b/8),2,4C,-3.5228,-5.1895,0.0000,0.0000,13.348,13.348,13.348,6A+,-5.348
Luxum,8,6A+,0.8859,-6.8206,0.0000,0.0000,13.578,13.578,13.578,6B,-0.578
Cornerspot,3,6C+,0.9173,1.1552,0.0000,0.0000,18.909,18.909,18.909,7A+,-1.909
Rechenschieber,6,6C,0.3268,-5.3692,0.0000,0.0000,14.380,14.380,14.380,6B,+1.620
White Stripe,10,8A+,9.1613,4.5096,0.0000,0.0000,23.613,23.613,23.613,8A,+1.387
Collapse direct,4,6C,-1.3808,-4.5041,0.0000,0.0000,14.446,14.446,14.446,6B,+1.554
Gorillahangel,1,7A,-2.1614,1.7387,0.0000,0.0000,18.378,18.378,18.378,7A,-0.378
The Unexpected,5,6C,-2.2124,-1.2894,0.0000,0.0000,16.342,16.342,16.342,6C,-0.342
N.N. Block 36,2,6B+,-1.7205,-4.2446,0.0000,0.0000,14.518,14.518,14.518,6B+,+0.482
"rechts statt links, variante",3,6B+,-2.4796,-5.1463,0.0000,0.0000,13.689,13.689,13.689,6B,+1.311
21 power,6,8A,1.9763,3.1024,0.0000,0.0000,20.525,20.525,20.525,7B+,+3.475
Pitch Patc,187,7A,5.9596,-2.1310,0.0000,0.0000,18.225,18.225,18.225,7A,-0.225
N.N. (Spigolo),1,5C,-11.1249,-3.3726,0.0000,0.0000,12.287,12.287,12.287,6A,-1.287
Vetruvian Man Chipped,1,7A+,-1.8362,2.0889,0.0000,0.0000,18.709,18.709,18.709,7A+,+0.291
Santa Pazienza,1,7A+,-1.8850,2.0335,0.0000,0.0000,18.657,18.657,18.657,7A+,+0.343
Grama traverse,1,6C,-3.1292,-1.9035,0.0000,0.0000,15.658,15.658,15.658,6C,+0.342
"N.N. (Masso 18, Line 1)",1,6A,-3.3266,-2.0831,0.0000,0.0000,15.479,15.479,15.479,6B+,-3.479
"N.N. (Masso 21a, Line 3)",1,6B+,-3.3262,-2.2161,0.0000,0.0000,15.391,15.391,15.391,6B+,-0.391
Anger management,14,7B,3.7894,0.1863,0.0000,0.0000,19.122,19.122,19.122,7A+,+0.878
La Pincharia,1,7C,0.7663,5.1554,0.0000,0.0000,21.533,21.533,21.533,7C,+0.467
Blondie,4,6B+,-2.1354,-0.5604,0.0000,0.0000,16.852,16.852,16.852,6C+,-1.852
Camou blanc,12,6A,0.8406,-8.0094,0.0000,0.0000,12.771,12.771,12.771,6A+,-0.771
Doris docet,39,6C,1.2312,-4.6457,0.0000,0.0000,15.133,15.133,15.133,6B+,+0.867
James Dean,2,6A,-3.3837,-6.0302,0.0000,0.0000,12.829,12.829,12.829,6A+,-0.829
timberland,1,7B+,-3.3951,2.1435,0.0000,0.0000,18.279,18.279,18.279,7A,+2.721
Done and Dusted,16,7C,3.6267,0.4834,0.0000,0.0000,19.272,19.272,19.272,7A+,+2.728
Johnny Dawes,4,7A+,-0.6084,-1.9038,0.0000,0.0000,16.412,16.412,16.412,6C,+2.588
David vs. Goliath,5,7A+,-0.2103,-0.8400,0.0000,0.0000,17.241,17.241,17.241,6C+,+1.759
Drösel,27,7B+,5.5867,-1.0931,0.0000,0.0000,18.806,18.806,18.806,7A+,+2.194
Power Check,11,8A+,5.0265,3.7845,0.0000,0.0000,21.893,21.893,21.893,7C,+3.107
behind kompressor,1,7A,-5.1856,0.6257,0.0000,0.0000,16.731,16.731,16.731,6C+,+1.269
Mähdrescher,3,4B,-1.5989,-11.5130,0.0000,0.0000,9.704,9.704,9.704,5B,-2.704
